Target,Model,Selected,DevianceMetric,TestDeviance,D2Explained,WeightedMAE,ActualTotal,PredictedTotal,CalibrationRatio,Gini,NormalizedGini
Frequency,Poisson GLM,False,Mean Poisson deviance,0.4660342068923825,0.040774757593071365,0.13920236415197262,5399.0,5244.565566029723,0.9713957336598859,,
Severity,Gamma GLM,False,Mean Gamma deviance,1.4909068802979526,-0.0025305708288405615,1790.4937144264816,11014710.15,10570464.833132092,0.9596679975398256,,
Frequency,Boosted frequency,False,Mean Poisson deviance,0.45503609982582677,0.06341185538741934,0.13756298464746228,5399.0,5242.576966063254,0.9710274061980467,,
Severity,Boosted severity,False,Mean Gamma deviance,1.502440366449823,-0.010286033365286995,1801.75716228427,11014710.15,10609633.172475427,0.9632240002679895,,
Pure premium,Two-part GLM,False,Mean Tweedie deviance (p=1.5),79.34761022666216,0.04218926332316808,279.20890752053054,11014710.15,10268613.805074653,0.9322636424595024,0.2778181749216906,0.28230566766721893
Pure premium,Direct Tweedie GLM,False,Mean Tweedie deviance (p=1.5),79.60346353095078,0.039100839599229054,278.678170637579,11014710.15,10271965.620826477,0.9325679460413652,0.28192236875404597,0.286476155002705
Pure premium,Boosted two-part,True,Mean Tweedie deviance (p=1.5),77.88396424637644,0.059857039713747784,276.33317026334424,11014710.15,10271926.151789822,0.9325643627390251,0.3195856452396597,0.3247477922625901
